REVIEW;FEELING
Na verdade, um teclado utilizável transforma um PDA em uma máquina útil do mundo real, em vez de apenas um gadget elegante.;1
Este telefone é bastante resistente e nunca tive grandes problemas com ele.;1
Eu amo essa coisa!;1
Tudo sobre ele é bom e razoável para o preço, ou seja,;1
MUITO DESAPONTADO.;0
Até coloquei este telefone em um fluxo e ele ficou submerso por 15 segundos e ainda funciona muito bem!;1
Fiquei muito feliz com o 510 e não tive nenhuma reclamação de ninguém sobre a qualidade do som deles.;1
Os botões para ligar e desligar estão ruins.;0
Essencialmente, você pode esquecer o suporte técnico da Microsoft.;0
Eu realmente recomendo essas placas, pois parece muito bom, elegante e legal.;1
Esses fones de ouvido foram um ótimo achado - e acho que talvez sejam a melhor compra que fiz nos últimos anos - a sério.;1
Compre um telefone diferente - mas não este.;0
Você deve segurar o telefone em um ângulo específico para que a outra parte o ouça claramente.;0
A grande desvantagem do MP3 player é que os botões na capa do telefone que permitem pausar e pular as músicas ficam bloqueados após alguns segundos.;0
Uma semana depois, depois que eu o ativei, ele morreu repentinamente.;0
Parece mais confortável do que a maioria dos fones de ouvido, porque eu uso óculos e isso atrapalha às vezes.;1
Ótimo para iPODs também.;1
Este dispositivo é excelente em várias situações: 1.);1
Mic Não funciona.;0
Mesmo na minha BMW série 3, que é bastante silenciosa, tenho problemas para ouvir o que a outra pessoa está dizendo.;0
Ótima escolha!;1
Estação de ancoragem agradável para casa ou trabalho.;1
Este é um telefone bonito.;1
Ame este produto.;1
Não compre para o D807 ... anunciado incorretamente para o D807.;0
Este é um ótimo item.;1
Eu amo este telefone, é muito útil e possui muitos recursos.;1
Eu comprei isso e dentro de 2 dias não estava mais funcionando !!!!!!!!!;0
Eu uso todos os dias e ele se mantém muito bem.;1
Não é uma boa pechincha.;0
Bem embalado, chegou a tempo e funciona como pretendido.;1
A bateria acaba rapidamente.;0
Este item funcionou muito bem, mas quebrou após 6 meses de uso.;0
Os fones de ouvido são fáceis de usar e todo mundo adora.;1
Este telefone funciona muito bem.;1
A construção dos fones de ouvido é ruim.;0
O produto foi excelente e funciona melhor que o da Verizon e Boy, foi mais barato!;1
O telefone carrega super!;1
Para um produto que custa tanto quanto este, espero que funcione muito melhor e com maior facilidade do que isso.;0
Feito muito resistente.;1
Trabalhou muito bem!;1
Os fones de ouvido tocam apenas uma música.;0
Não desperdice seu dinheiro ...;0
Pedirá deles novamente!;1
Se você planeja usar isso em um carro, esqueça.;0
Achei este produto muito grande.;0
O melhor que encontrei até agora ... Tentei outros 2 bluetooths e este possui a melhor qualidade (tanto para mim quanto para o ouvinte), além da facilidade de uso.;1
Estou muito decepcionado com a minha decisão.;0
Integrado perfeitamente com o telefone Motorola RAZR.;1
Cuidado, você pode liberar dinheiro no vaso sanitário.;0
Definitivamente uma pechincha.;1
O preço foi muito bom e com frete grátis e tudo o que foi uma boa compra.;1
Recebi meu supostamente novo motorola 375 e, aparentemente, não havia correspondência entre o telefone e o carregador.;0
Prós: -Boa câmera - fotos muito legais, também tem estilos legais como preto e branco e muito mais.;1
Essa é uma enorme falha de design (a menos que não esteja sendo usada corretamente, o que não acho que seja o caso).;0
Eu amo meu fone de ouvido 350. Meu fone de ouvido bluetooth Jabra350 é ótimo, a recepção é muito boa e a parte da orelha é um ajuste confortável.;1
A câmera, apesar de ter uma impressionante taxa de 1,3 megapixels, produz imagens que ficam bem abaixo das expectativas de uma resolução relativamente alta.;0
Eu comprei isso para o carregador de carro e ele não funciona.;0
A qualidade do som nos dois lados é excelente, eu uso o fone de ouvido para ligar para minha esposa e peço que ela use o fone de ouvido para me ligar!;1
Este telefone é fino e leve e a tela é linda.;1
é um pouco nerd, mas acho que esse é o seu sexo com torradas e balança e exala sexo até o estojo de couro elegante e embebido em bateria.;1
Ótimo produto, transporte rápido !.;1
Absolutamente ótimo.;1
O teclado é um bom compromisso entre um QWERTY completo e o teclado básico do número de telefone celular.;1
Eu tenho esse telefone no final de maio e estou completamente descontente com ele.;0
É muito confortável na orelha.;1
Foi um vencedor para nós.;1
) A instalação não poderia ter sido mais simples.;1
Eu tentei vários fones de ouvido diferentes para o meu telefone celular e este Jabra é o primeiro que encontrei que se encaixa confortavelmente no meu ouvido.;1
Não foi possível obter sinal forte o suficiente.;0
Eu estou muito satisfeito com minha compra.;1
Qualidade ruim.;0
Faz o trabalho.;1
Ótimo áudio !.;1
Basicamente, o serviço foi muito ruim.;0
não funcionou no meu plugue de telefone celular, estou muito configurado com o carregador!;0
Eu só tenho meu bluetooth por algumas semanas, mas eu realmente gosto.;1
O fone de ouvido da BT ficou desapontado.;0
É tão pequeno e você nem percebe que está lá depois de um tempo se acostumando.;1
O software acompanhado é quase brilhante.;1
O fone de ouvido funciona muito bem e foi muito bem embalado para evitar danos.;1
Eu definitivamente recomendo !!;1
Comprador - tenha muito cuidado !!!!!.;0
A maioria dos fones de ouvido da Logitech falhou.;0
Coisas muito boas para o preço.;1
Meu fone de ouvido funciona muito bem.;1
Em minha casa, eu estava caindo de cobertura no andar de cima e sem cobertura no porão.;0
O reconhecimento de voz é tremendo!;1
Que desperdício.;0
Durante várias chamadas diferentes de 2 minutos, experimentei 5 gotas e foi em uma área que tinha 5 barras.;0
Eu não estava feliz com este item.;0
Muito desapontado.;0
O telefone leva para SEMPRE carregar cerca de 2 a 5 horas, literalmente.;0
Eu recebi este telefone por recomendação de um parente e estou feliz por recebê-lo.;1
Que perda de tempo!;0
Sua recepção é muito, muito ruim.;0
Os itens declarados como incluídos na descrição NÃO SÃO INCLUÍDOS.;0
Após 3 meses, a tela ficou preta de repente.;0
Eu estava esperando por mais.;0
A qualidade do áudio é ruim, muito ruim.;0
Não tive absolutamente nenhum problema com esse fone de ouvido vinculado à minha 8530 Blackberry Curve!;1
Sei que isso parece engraçado, mas para mim parecia uma tecnologia superficial que não funcionaria bem.;1
Comprei fones de ouvido com fio de US $ 5 que soam melhor que esses.;0
Este telefone é muito rápido com o envio de qualquer tipo de mensagem e a navegação na Web é significativamente mais rápida que os telefones anteriores que usei.;1
Construção de boa qualidade, ao contrário de algumas merdas baratas por aí.;1
Este item é fantástico e funciona perfeitamente!;1
E eu simplesmente amo as cores!;1
W810i é simplesmente soberbo.;1
Tudo o que posso fazer é reclamar na Internet, então aqui vai. Quanto mais eu uso, menos gosto.;0
Ótimo carregador.;1
Esta é essencialmente uma ferramenta de comunicação que não se comunica.;0
"Funciona como um encanto; funciona da mesma maneira que recebi com o telefone.";1
Eu ainda mantenho que os macacos não deveriam fazer fones de ouvido, nós obviamente não compartilhamos DNA suficiente para copiar o design para os seres humanos.;0
Grande valor.;1
Não funciona de todo .. Eu comprei para o meu L7c e não está funcionando.;0
A aparência é muito nítida e a tela é agradável e clara, com ótimos gráficos.;1
não dura muito.;0
Uma coisa que eu odeio é o botão de ajuste de modo ao lado.;0
SERVIÇO EXCELENTE!!!!!!!!.;1
Obrigado por desperdiçar meu dinheiro.;0
Como pode ser isso? A qualidade do áudio é ruim.;0
Os carregadores e dicas do iGo são realmente ótimos.;1
O navegador de arquivos oferece todas as opções que você precisa.;1
Excelente telefone em uma ótima rede.;1
Liguei o bluetooth da minha esposa (Motorola HS850) ao meu telefone e funcionou como um encanto, independentemente de o telefone estar no meu bolso ou no estojo.;1
Coloquei o SO mais recente (v1.15g), e agora ele gosta de desacelerar e travar de vez em quando.;0
Ele reconhece apenas o telefone como seu dispositivo de armazenamento.;0
Se você gosta de um zumbido alto para substituir todas as suas conversas, este telefone é para você!;0
Não compre este produto.;0
Eu tenho esse fone de ouvido bluetoooth há algum tempo e ainda não me sinto confortável com a forma como ele se encaixa na orelha.;0
A qualidade do som é boa e a funcionalidade é incrível.;1
Eu tenho esse telefone e é um espinho do meu lado, eu realmente odeio.;0
Recentemente, tive problemas em que não podia permanecer conectado por mais de 10 minutos antes de ser desconectado.;0
Incrível!.;1
Falha de design?.;0
Ótimo telefone!;1
Desperdício de 13 dólares.;0
Mas quando eu verifico o correio de voz à noite, a luz de fundo do teclado apaga alguns segundos na primeira mensagem e, então, estou perdida.;0
A substituição morreu em algumas semanas.;0
Qualquer toque .. geral bom telefone para comprar ..;1
Ultimamente, eles têm sido extremamente simpáticos e prestativos ao telefone.;1
Eu tive problemas com o sinal de queda e muito mais.;0
Não estou impressionado.;0
Peso leve, eu quase não percebo que está lá.;1
Você vai adorar o quão fino é.;1
Má escolha.;0
O estojo pleather não se encaixa.;0
telefone inútil, simplesmente surdo.;0
A cor é ainda mais bonita do que eu pensava, e os gráficos são incrivelmente nítidos.;1
Em suma, acho que foi um bom investimento.;1
Faz barulhos muito estranhos antes de encerrar a ligação.;0
A melhor eletrônica dos transmissores de FM disponíveis.;1
A bateria dura apenas algumas horas.;0
ótimo fone de ouvido, muito impressionado - H500.;1
A câmera de 1.2 megapixel, fazendo parte de um telefone, é razoavelmente boa7.;1
Eu tenho isso há quase 2 anos e funcionou muito bem para mim.;1
Bom transmitir áudio.;1
Estamos enviando de volta.;0
Eu não me incomodei em entrar em contato com a empresa para obter alguns produtos em dólares, mas aprendi a lição de que não deveria ter comprado este formulário on-line de qualquer maneira.;0
Se você odeia fones de ouvido, evite este telefone por todos os meios.;0
Ótimo preço também!;1
O alcance é muito decente, fui capaz de percorrer minha casa com o telefone na sala de estar sem problemas de recepção / qualidade do som.;1
serviço rápido.;1
Eu recomendaria muito isso.;1
Eu recomendaria isso.;1
"Eu também não gostei do botão ""ligar"", parecia que ele iria rachar com o uso.";0
O pior telefone de todos os tempos.;0
Eu ainda estou apaixonado por este telefone.;1
Congela com freqüência4.;0
É meio embaraçoso de usar por causa de sua aparência e principalmente é embaraçoso como a empresa é uma criança.;0
Ajuste simples, leve e ótimo.;1
Em suma, eu esperava uma melhor experiência do consumidor da Motorola.;0
Há um som horrível no fundo em todas as minhas ligações que eu nunca havia experimentado antes.;0
Estes são certamente muito confortáveis ??e a funcionalidade é decente.;1
Eu geralmente não gosto de bandanas, mas essa é muito leve e não bagunça meu cabelo.;1
Estou um pouco decepcionado.;0
Eu tenho esse telefone há mais de um ano, e vou lhe dizer, não é tão bom assim.;0
Eu pedi isso para o Sony Ericsson W810i, mas acho que só funcionou uma vez (foi quando eu o usei pela primeira vez).;0
A bateria é completamente inútil para mim.;0
Que grande perda de tempo.;0
Não desperdice seu $$$ neste.;0
Excelente som e serviço.;1
Muito satisfeito com este produto até agora.;1
Uma das minhas compras favoritas de todos os tempos.;1
melhor bluetooth no mercado.;1
Couro autêntico com bom brilho e conforto. Recomendo-lhe este estojo !!;1
Fiquei muito empolgado com esse fone de ouvido porque achei muito fofo.;1
Não cometa o mesmo erro que eu.;0
Grande decepção com sincronização de calendário.;0
o telefone estava inutilizável e não era novo.;0
Pior serviço ao cliente de todos os tempos.;0
Não são fornecidos géis para os ouvidos adicionais e nenhuma instrução.;0
Isso anula o objetivo de um fone de ouvido bluetooth.;0
Vale cada centavo.;1
Excelente capa de telefone tipo carteira.;1
Nice fones de ouvido pelo preço e eles funcionam muito bem!;1
Internet é terrivelmente lenta.;0
Também é muito confortável de usar, que é provavelmente o aspecto mais importante do uso de um estojo.;1
Cabe como uma luva e é forte, seguro e durável.;1
Ó meu Deus, o melhor telefone que já tive.;1
É muito atraente e parece ser de boa qualidade.;1
Eu amo todos os recursos e fator de forma.;1
Este produto tinha um forte cheiro de borracha / petróleo que era insuportável depois de um tempo e me levou a devolvê-lo;0
má qualidade e serviço.;0
O cabo parece tão fino e frágil, é assustador.;0
Ótimo fone de ouvido.;1
Excelente ferramenta mãos-livres.;1
Ótimo para usar com o seu aparelho de som doméstico.;1
Bom produto - valor incrível.;1
Só tive isso por um mês, mas funcionou perfeitamente até agora.;1
Funciona bem.;1
Absolutel lixo.;0
Esse também não funcionou.;0
A vida da bateria é muito boa.;1
Devolvido 8 horas depois.;0
É um ótimo item.;1
Não desperdice seu dinheiro!;0
Amo este fone de ouvido!;1
Não apenas irá drenar o seu aparelho, mas também pode fritá-lo.;0
Funcionou perfeitamente!;1
Não confiável - estou desistindo.;0
Eu dei 5 estrelas por causa da qualidade do som.;1
Evite este se puder.;0
Plug reversível funciona muito bem.;1
Eu desperdicei meu pouco dinheiro com este fone de ouvido.;0
Telefone muito bom.;1
O melhor de tudo é o recurso rotativo, muito útil.;1
Conforto para toda a família.;1
Bom produto, bom vendedor.;1
Eu amo esse bluetooth!;1
Primeiro de tudo, ele não se veste bem.;0
Estou muito impressionado com este fone de ouvido da Plantronics.;1
Eu entendi porque era tão pequeno e adorável.;1
Ótimo telefone!;1
Eu não recomendaria comprar este produto.;0
Pedaço de lixo.;0
Dobradiça mal articulada.;0
Este item é ótimo, instalou-o, deixou-o carregado durante a noite e tem funcionado bem desde então, sem problemas;1
Ótimo telefone.;1
Não compre.;0
Excelente telefone.;1
NÃO COMPRE ESTE TELEFONE.;0
O reconhecimento de voz pelo telefone é excelente.;1
Este é sem dúvida o melhor celular que já tive.;1
Funciona muito bem, quando meu gato atacou o telefone, ele arranhou a faixa de proteção em vez de destruir a tela.;1
Este funciona e foi fixado o preço certo.;1
O serviço ao cliente foi terrível.;0
A duração da bateria ainda não é suficiente no Motorola Razor V3i.;0
Enviando de volta.;0
Agora eu sei que tomei uma decisão sábia.;1
Alguém deveria ter inventado isso antes.;1
Bom preço.;1
Tudo funcionou na primeira tentativa. O dispositivo foi certamente projetado de uma maneira inteligente e a construção parece boa.;1
Eu o recebi rapidamente e funciona muito bem!;1
Tem trabalhado muito bem.;1
Como muitas pessoas reclamaram, achei o microfone desse fone de ouvido muito fraco.;0
Meu Nokia 2160 da Tracfone, de 5 anos, tem uma carga muito melhor do que isso.;0
Eles não se importam nem um pouco com o consumidor.;0
Esta é uma bateria boa e chegou aqui muito rápido.;1
O manual de instruções está ausente.;0
Também é fino o suficiente para caber na minha docking station para despertador sem remover o estojo.;1
O telefone agora é responsável como quando era novo.;1
A bateria não é confiável e o serviço usa antena.;0
É desconfortável e a qualidade do som é muito baixa em comparação com o telefone (Razr) ou com o meu fone de ouvido com fio anterior (conectado a um LG).;0
Recebemos muitos elogios por isso.;1
Definitivamente, este é um item obrigatório se o seu estado não permitir o uso de celulares enquanto estiver dirigindo.;1
Eu quero meu dinheiro de volta.;0
Eu amo esse dispositivo.;1
Também estou muito feliz com o preço.;1
Encomendei este produto primeiro e fiquei insatisfeito com ele imediatamente.;0
O Ngage ainda está com falta de fones de ouvido.;0
Consegui fazer discagem por voz no carro sem nenhum problema.;1
Tenho 2-3 barras no meu celular quando estou em casa, mas você não pode ouvir nada.;0
bom item, preço baixo.;1
No entanto, os ringtones não são os melhores, e nem os jogos.;0
A ficha não funcionou muito bem.;0
A AMAZÔNIA SUGA.;0
Rasgue ---- Sobre o transporte da carga.;0
Muito confortável.;1
A bateria está funcionando bem como um substituto para o original que acompanha o telefone há mais de 2 anos.;1
A recepção é excelente!;1
Cabe confortavelmente em qualquer ouvido, o som é nítido e alto e a carga dura alguns dias.;1
som muito claro e de qualidade e você não precisa mexer no som do seu iPod, pois possui os botões de som no fone de ouvido.;1
1. bateria de longa duração (você não precisa recarregá-la com a mesma frequência que alguns dos telefones flip) 2.;0
Obviamente, há um problema com o adesivo.;0
Muito decepcionante.;0
Era uma peça barata, mas eu ainda esperava uma melhor qualidade.;0
É praticamente inútil e não aumentou a minha recepção depois que a comprei.;0
Excelente qualidade de som.;1
Não estava feliz.;0
UMA PARTE DE LIXO QUE QUEBRADA APÓS ESTAR NO MEU TELEFONE POR 2 DIAS !!!;0
Nova bateria funciona muito bem no telefone.;1
Pior serviço ao cliente.;0
Larguei meu telefone mais vezes do que posso dizer, mesmo no concreto e meu telefone ainda é ótimo (bata na madeira!).;1
A recepção é terrível e cheia de estática.;0
Boa qualidade de áudio.;1
Esse pequeno dispositivo transformou minha capacidade organizacional e tornou minha vida muito mais fácil.;1
Eu estava sentado no meu veículo, com o berço no cinto e o fone de ouvido perdeu o sinal.;0
Foram empurrões no telefone.;0
Funciona como um encanto. Funciona como anunciado.;1
Gama confortável e agradável, boa duração da bateria.;1
Sua cobertura de rede em Los Angeles é horrível.;0
Excelente fone de ouvido sem fio para iniciantes.;0
A opção de alto-falante é ótima, os pára-choques com as luzes são muito ... atraentes.;0
A única coisa que acho que poderia melhorar é o som que sai do fone de ouvido.;0
Primeiro a recepção é péssima, eu nunca tive mais de 2 bares, nunca.;0
O telefone fica EXTREMAMENTE QUENTE!;0
O microfone também funciona bem, mas (de acordo com as pessoas que chamei) aplica tudo.;1
Design e qualidade agradáveis.;1
Além disso, se o seu telefone cair, este gabinete não o salvará, especialmente quando cair com a face para baixo.;0
É leve, fácil de usar e possui recepção e transmissão muito claras.;1
ajuste ruim, muito grande.;0
Definitivamente não foi tão bom quanto o meu S11.;1
dispositivo incrível.;1
Desperdício de dinheiro.;0
Eu pedi um cabo de dados da Motorola, obtive um produto muito bem acabado e funcionando.;1
Amo este telefone.;1
Eu estava procurando esse fone de ouvido por um longo tempo e, agora que o comprei, não poderia estar mais feliz.;1
Estarei dirigindo e meu fone de ouvido começa a tocar sem motivo.;0
A tela é excelente e a câmera é tão boa quanto qualquer outra naquele ano.;1
A vida da bateria também é ótima!;1
O pior telefone que já tive ... Só o tive por alguns meses.;0
Não é um bom item. Funcionou por um tempo e começou a ter problemas no meu toca-fitas reverso automático.;0
Isso é tão embaraçoso e também meus ouvidos doem se eu tentar colocar o plugue no meu ouvido.;0
Protege o telefone por todos os lados.;1
Este é um telefone MUITO comum com bateria com pouca carga e que opera em uma rede fraca.;0
Chamadas nítidas pelo Skype, Longa duração da bateria, Longo alcance.;1
A tecnologia Soyo é péssima.;0
Grande dispositivo mãos-livres.;1
você pode até tirar auto-retratos com a tela externa (externa), muito legal.;1
Mesmo problema que outros já mencionaram.;0
Depois de experimentar muitos dispositivos handsfree, este é o que finalmente funciona bem.;1
Ajuda mágica.;1
A pior porcaria de todos os tempos, juntamente com o serviço ao cliente da Verizon.;0
Má qualidade de som.;0
O melhor celular do mercado :).;1
Funcionou muito bem.;1
A empresa enviou meu produto muito rapidamente e funciona bem.;1
Exatamente o que eu queria.;1
A resolução da imagem está muito abaixo do que outros telefones com preços comparáveis ??estão oferecendo hoje.;0
Isso é muito.;1
Excelente produto, estou muito satisfeito com a compra.;1
Eu recomendo isso e encorajo as pessoas a experimentá-las.;1
Melhor do que você esperaria.;1
Usando todos os fones de ouvido, esquerdo ou direito, essa coisa não ficará no meu ouvido.;0
Ótimo produto e preço.;1
Parece bom com preços razoáveis ??e eficaz, é simples assim!;1
Ainda esperando ...... Tenho certeza de que esse item funcionaria bem .. se eu recebê-lo!;0
que decepção;0
Serviço muito rápido.;1
Excelente produto pelo preço.;1
Muito satisfeito com este fone de ouvido.;1
não perca seu dinheiro e tempo.;0
Adoro especialmente a longa duração da bateria.;1
É tão estúpido ter que continuar comprando novos carregadores, carregadores de carro, berços, fones de ouvido e kits para carro toda vez que um novo telefone é lançado.;0
Funciona bem.;1
Plantronics Bluetooth Excelent Buy.;1
Eu vim da Verizon porque a cingulair tem telefones celulares mais agradáveis ??... a primeira coisa que notei foi o serviço realmente ruim.;0
Vou procurar um novo fone de ouvido.;0
Eu recomendo este dispositivo para todos!;1
Jawbone Era também é incrível!;1
Recebemos uma bateria de cor BRANCA que fica MORTA depois de algumas horas.O original costumava durar uma semana - mas ainda dura mais do que o local;0
Depois de um ano, a bateria ficou completamente descarregada no meu fone de ouvido.;0
Eu usei vários telefones em dois anos, mas este é o melhor.;1
Um novo visual impressionante para o outono de 2000 !.;1
Este é o primeiro telefone que tive que foi feito de forma tão barata.;0
Att não é claro, o som é muito distorcido e você tem que gritar quando fala.;0
O plástico quebra muito fácil neste clipe.;0
O preço também é bom.;1
Não cometa o mesmo erro que eu cometi.;0
Ah, e eu esqueci de mencionar também o efeito de cor estranho que ele tem no seu telefone.;0
Estou usando-o com um iriver SPINN (com estojo) e ele se encaixa bem.;1
Também a área onde minha unidade quebrou) .- Não gosto muito da fita magnética.;0
No geral, estou empolgado por ter um telefone com todos os meus compromissos e contatos e com ótima recepção.;1
tudo no telefone funciona perfeitamente, ela gosta.;1
Outra observação sobre a aparência deste telefone é que ele realmente parece um pouco sem graça, especialmente no modelo totalmente preto.;0
É MUITO FÁCIL.;1
Meu Sanyo sobreviveu a dezenas de quedas no asfalto sem efeitos negativos.;1
Fones de ouvido fantásticos.;1
Ele encontra meu celular imediatamente quando entro no carro.;1
Baixa qualidade.;0
Eu recomendo este telefone celular com preços modestos.;1
Mas obtém melhor recepção e clareza do que qualquer telefone que eu já tinha antes.;1
Aviso - Fique longe.;0
Eu gostaria de poder devolver a unidade e recuperar meu dinheiro.;0
Dispositivo impressionante funciona muito bem!;1
Eu costumava falar sobre isso por 1 a 1 hora e meia e a bateria fica literalmente descarregada e morrendo.;0
Se você não o encontrar, é muito ruim, pois novamente a unidade vem com apenas um fone de ouvido. Eu não recomendaria isso a ninguém.;0
Muito descontente.;0
Eu poderia ter tido um defeito, mas não correria o risco de comprá-lo novamente por causa da qualidade construída.;0
Eles fizeram esse gabinete muito pequeno e é muito difícil de instalar.;0
Restaurou meu telefone para gostar de um novo desempenho.;1
Eu recomendaria comprar o Jabra JX-10 series 2, que funciona perfeitamente com o meu Moto Q, vai entender.;1
Pesquisei na Internet e achei esse o melhor valor.;1
Não serve.;0
Muito feliz com este produto.;1
O tamanho da tela é grande, o teclado está iluminado o suficiente e a qualidade da câmera é excelente para um telefone com câmera.;1
Não há realmente nada de ruim que eu possa dizer sobre esse fone de ouvido.;0
Estou feliz por encontrar este produto na Amazon, é difícil de encontrar, não era caro.;1
Portátil e funciona.;1
Agora, meu colega e eu recebemos uma ótima recepção. Um pouco caro, mas o desempenho é ótimo.;1
Até carreguei completamente antes de ir para a cama, desliguei o dente azul e o wi-fi e notei que restavam apenas 20% pela manhã.;0
Também tive problemas com o telefone ao ler o cartão de memória no qual sempre o ligo e depois desligo.;0
Não é bom quando vestindo um chapéu ou óculos de sol.;0
Envio atempado e produto de qualidade.;1
Bom teclado sólido.;1
Muito bem feito e se encaixa perfeitamente no meu Surefire GX2.;1
Telefone horrível.;0
BT50 lixo da bateria !.;0
Nós os recomendamos a outros.;1
Não é possível fazer o software funcionar com o meu computador.;0
Decepcionado!;0
falta de clareza de voz.;0
A bateria funciona muito bem!;1
Nenhum comprador se arrepende deste!;0
Muito decepcionado com o AccessoryOne.;0
Acho isso imperdoável e provavelmente retornará este telefone e talvez mudando de operadora.;0
"Parece ótimo e é forte. """;1
Eu tenho o serviço TMobile há 2 ou 3 anos e estou muito feliz com isso.;1
O procedimento de atualização é difícil e complicado.;0
Desapontamento .. Eu odeio tudo o que entra no meu ouvido.;0
Ótimo software para Motorolas.;1
A entrega foi pontual.;1
Muito fácil de usar.;1
Desconfortável no ouvido, não use com LG VX9900 (EnV).;0
A chave de volume disparou da unidade para um destino desconhecido.;0
Mantém uma carga por um longo tempo, é razoavelmente confortável em condições de uso prolongado e a qualidade do som é tremenda.;1
Eu gostaria de devolvê-lo.;0
O teclado é realmente útil em termos de utilidade e é resistente o suficiente, não espero problemas.;1
As contas da Verizon, no entanto, são difíceis de entender, embora seus planos de preços sejam simples.;0
Após o carregamento durante a noite, essas baterias funcionam muito bem.;1
Você não vai se arrepender!;1
Eu amo esse telefone!;1
Um desapontamento.;0
Não é fácil de usar.;0
Infelizmente, a capacidade de realmente saber que você está recebendo uma ligação é um recurso bastante importante e esse telefone é lamentável a esse respeito.;0
Depois troquei pelo mesmo telefone, mesmo que tivesse o mesmo problema.;0
Isso faz com que o telefone fique preso no volume máximo ou mudo.;0
Este PDA é ótimo.;1
É super carregado para uso como um pequeno palmtop / câmera / celular híbrido e é excelente nessas funções.;1
Eu recomendaria definitivamente o Jabra BT250v para quem procura conforto, clareza e um ótimo preço!;1
Eu tinha Verizon há 2 anos e realmente gostei do seu serviço.;1
Um belo pedaço de lixo.;0
O plugue estava do tamanho errado.;0
Funciona como descrito.;1
Economize seu dinheiro .... Eu tenho esse item há 11 meses.;0
Compra ruim.;0
BEM IM SATISFEITO.;1
O cancelamento de ruído da bose é incrível, o que é muito importante para um viajante de Nova York.;1
Esta bateria é uma excelente pechincha!;1
Porcaria com defeito.;0
Eu não teria dado nenhuma estrela se fosse capaz.;0
Eu uso óculos e se encaixa bem com eles.;1
A qualidade do som do dispositivo é inaceitável. A menos que você esteja em uma área muito tranquila, quase não ouvirá nada.;0
Eu não recomendaria este item a ninguém.;0
O coldre que chegou não corresponde à foto no anúncio.;0
ótimo ... sem problemas !.;1
Como observou uma revisão anterior, conecte este carregador e nada acontece.;0
Este charme de telefone sapo é adorável e muito atraente.;1
Você nunca sabe se pressionou o suficiente ou o número certo de vezes para a função que deseja ou não.;0
O som é nítido e as pessoas com quem falo também ficam impressionadas com a qualidade.;1
